id,name,image,sd,is_incumbent,party,nyha_support,website
39,"William J. Larkin, Jr.",https://www.nysenate.gov/sites/default/files/styles/160x160/public/03-03-15_39-06_0009_0.jpg?itok=m5AG1IVI,39,NR,"R, C",,
40,Terrence Murphy,https://www.nysenate.gov/sites/default/files/styles/160x160/public/new_york_state_senator_terrence_p._murphy.jpg?itok=9mVXEfuE,40,Y,"R, C, G, IP, SC",,
41,Sue Serino,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-17-14%29%20Serino-075.jpg?itok=lq-v-yoF,41,Y,"R, C, IP",,
42,John J. Bonacic,https://www.nysenate.gov/sites/default/files/styles/160x160/public/760x377-Bonacic_0.jpg?itok=EfSuFTKi,42,NR,"R, C, IP",,
43,Kathleen A. Marchione,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2812-11-12%29%20Marchione-HS-015RET.jpg?itok=bs7MIRxl,43,NR,"R, C, IP",,
44,Neil D. Breslin,https://www.nysenate.gov/sites/default/files/styles/160x160/public/07-20-11_breslin_-hs-032.jpg?itok=sNxOrDrN,44,Y,"D, IP, WF",,
45,Betty Little,https://www.nysenate.gov/sites/default/files/styles/160x160/public/24Little.jpg?itok=PIco8zzr,45,Y,"R, C, IP",,
46,"George A. Amedore, Jr.",https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-17-14%29%20Amedore-045.jpg?itok=sHHpdcCf,46,Y,"R, C, IP",,
47,Joseph A. Griffo,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-18-08%29%20Griffo-HS-020.jpg?itok=rGK6kVTU,47,Y,"R, C, IP",,
48,Patty Ritchie,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-25-11%29%20Richie-HS-055.jpg?itok=cJbQsuIe,48,Y,"R, C, IP",,
49,James Tedisco,https://www.nysenate.gov/sites/default/files/styles/160x160/public/official_tedisco-hs.jpg?itok=4-C9InuB,49,Y,"R, C",,
50,John A. DeFrancisco,https://www.nysenate.gov/sites/default/files/styles/160x160/public/02-06-17_defrancisco-hs-013.jpg?itok=WXWdoHLu,50,NR,"R, C, IP",,
51,James L. Seward,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-18-08%29%20Seward-HS-050.jpg?itok=xYWkG2LS,51,Y,"R, C, IP",,
52,Fred Akshar,https://www.nysenate.gov/sites/default/files/styles/160x160/public/official_akshar_headshot_-_fixed_2.jpg?itok=Lj-i_Qup,52,Y,"R, C, IP, RFM",,
53,David J. Valesky,https://www.nysenate.gov/sites/default/files/styles/160x160/public/official_head_shot_with_flag.jpg?itok=jVOWe5tZ,53,NR,"D, IP",,
54,Pamela Helming,https://www.nysenate.gov/sites/default/files/styles/160x160/public/01-03-17_helming-hs-018_0.jpg?itok=f9f7an60,54,Y,"R, C, IP",,
55,Rich Funke,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2811-17-14%29%20Funke-015.jpg?itok=IwGtEQ5j,55,Y,"R, C, IP",,
56,Joseph E. Robach,https://www.nysenate.gov/sites/default/files/styles/160x160/public/senate_headshot.jpg?itok=t9fu8_5E,56,Y,"R, C, IP",,
57,Catharine Young,https://www.nysenate.gov/sites/default/files/styles/160x160/public/young%20headshot-ret.jpg?itok=H4jSa-Bh,57,Y,"R, C, IP",,
58,Thomas F. O'Mara,https://www.nysenate.gov/sites/default/files/styles/160x160/public/02-10-15_official_hs_omara-hs-040_0.jpg?itok=0S6A6rmV,58,Y,"R, C, IP",,
59,Patrick M. Gallivan,https://www.nysenate.gov/sites/default/files/styles/160x160/public/09-15-16_gallivan-hs-012a.jpg?itok=6Ayxm7iL,59,Y,"R, C, IP, RFM",,
60,Chris Jacobs,https://www.nysenate.gov/sites/default/files/styles/160x160/public/chris-jacobs.jpg?itok=urXZhku-,60,Y,"R, C, IP",,
61,Michael H. Ranzenhofer,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-26-09%29%20Ranzenhofer-HS-019.jpg?itok=fM_Y89JT,61,Y,"R, C, IP",,
62,Robert G. Ortt,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2803-19-15%29%20Ortt-HS-057.jpg?itok=k0cugWta,62,Y,"R, C, IP",,
63,Timothy M. Kennedy,https://www.nysenate.gov/sites/default/files/styles/160x160/public/tk-sd63hs.jpg?itok=L845-gcE,63,Y,"D, IP, WF",,
64,Greg Fischer,,1,N,D,,
65,Kathleen Cleary,,2,N,D,,
66,Monica Martinez,,3,N,D,,
67,Lou D'Amaro,,4,N,D,,
68,James Gaughran,,5,N,D,,
69,Kevin Thomas,,6,N,D,,
70,Anna Kaplan,,7,N,D,,
71,Jeffrey Pravato,,8,N,R,,
72,Francis Becker Jr.,,9,N,R,,
73,John Liu,,11,N,D,,
74,Vickie Paladino,,11,N,R,,
75,Jessica Ramos,,13,N,D,,
76,Thomas Sullivan,,15,N,D,,
77,Julia Salazar,,18,N,D,,
78,Jeffrey Ferretti,,19,N,R,,
79,Zellnor Myrie,,20,N,D,,
80,Andrew Gounardes,,22,N,D,,
81,David Krainert,,23,N,R,,
82,Anthony Arias,,26,N,R,,
83,Peter Holmberg,,28,N,R,,
84,Jose A. Colon,,29,N,R,,
85,Robert Jackson,,31,N,D,,
86,Melinda Crump,,31,N,R,,
87,Patrick Delices,,32,N,R,,
88,Nicole Torres,,33,N,R,,
89,Richard Ribustello,,34,N,R,,
90,Alessandra Biaggi,,34,N,D,,
91,C. Scott Vanderhoef,,38,N,R,,
92,James Skoufis,,39,N,D,,
93,Thomas Basile,,39,N,D,,
94,Emily Martz,,45,N,D,,
95,Pat Courtney Strong,,46,N,D,,
96,Michelle Ostrelich,,49,N,D,,
97,John Mannion,,50,N,D,,
98,Bob Antonacci,,50,N,R,,
99,Joyce St. George,,51,N,D,,
100,Rachel May,,53,N,D,,
101,Janet Berl Burman,,53,N,R,,
102,Kenan Baldridge,,54,N,D,,
103,Jennifer Lunsford,,55,N,D,,
104,Jeremy Cooney,,56,N,D,,
105,Amanda Kirchgessner,,58,N,D,,
106,Carima El Behairy,,60,N,D,,
107,Joan Seamans,,61,N,D,,
108,Peter Harckham,,40,N,R,,
109,Karen Smythe,,41,N,R,,
110,Jen Metzger,,42,N,D,,
111,Aaron Gladd,,43,N,D,,
112,Ann Rabbitt,,42,N,R,,
113,Daphne Jordan,,43,N,R,,
114,Christopher Davis,,44,N,R,,
